127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.066000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.188000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.190000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.182000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.169000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.223000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.073000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:28:55, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-17 14:28:55, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-17 14:28:55, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-17 14:29:03, GET, /admin/default/index, HTTP/1.1, 200, 1.965000
127.0.0.1, 2018-04-17 14:29:03, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-04-17 14:29:03, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-17 14:29:03, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.050000
127.0.0.1, 2018-04-17 14:29:03, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-17 14:29:03, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-04-17 14:29:03, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.088000
127.0.0.1, 2018-04-17 14:29:04, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-04-17 14:29:04, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-04-17 14:29:04, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.132000
127.0.0.1, 2018-04-17 14:29:04, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-04-17 14:29:04, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-04-17 14:29:04, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.090000
127.0.0.1, 2018-04-17 14:29:04, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-04-17 14:29:04, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.083000
127.0.0.1, 2018-04-17 14:29:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-17 14:29:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-17 14:29:07, POST, /admin/default/index, HTTP/1.1, 303, 0.027000
127.0.0.1, 2018-04-17 14:29:07, GET, /admin/default/site, HTTP/1.1, 200, 0.099000
127.0.0.1, 2018-04-17 14:29:07, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-04-17 14:29:07, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-04-17 14:29:07, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-17 14:29:08, POST, /admin/default/check_version, HTTP/1.1, 200, 0.226000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/default/index, HTTP/1.1, 200, 1.908000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/js/share.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/js/jquery.js, HTTP/1.1, 200, 0.099000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/js/calendar.js, HTTP/1.1, 200, 0.105000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.106000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/js/web2py.js, HTTP/1.1, 200, 0.096000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.120000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/images/facebook.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-17 14:29:15, GET, /camphyr/static/images/favicon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-17 23:08:07, GET, /, HTTP/1.1, 303, 0.004251
127.0.0.1, 2018-04-17 23:08:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.258825
127.0.0.1, 2018-04-17 23:08:13, GET, /admin/default/site, HTTP/1.1, 303, 0.127833
127.0.0.1, 2018-04-17 23:08:13, GET, /admin/default/index, HTTP/1.1, 200, 0.028675
127.0.0.1, 2018-04-17 23:08:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000174
127.0.0.1, 2018-04-17 23:08:17, POST, /admin/default/index, HTTP/1.1, 303, 0.015036
127.0.0.1, 2018-04-17 23:08:17, GET, /admin/default/site, HTTP/1.1, 200, 0.035423
127.0.0.1, 2018-04-17 23:08:17, POST, /admin/default/check_version, HTTP/1.1, 200, 0.316809
127.0.0.1, 2018-04-17 23:08:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000281
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/default/index, HTTP/1.1, 200, 0.068267
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/css/custom.css, HTTP/1.1, 404, 0.000591
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/css/stupid.css, HTTP/1.1, 404, 0.002163
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/css/calendar.css, HTTP/1.1, 200, 0.000619
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 404, 0.000460
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/css/myapp.css, HTTP/1.1, 404, 0.002349
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/css/web2py.css, HTTP/1.1, 200, 0.003066
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/js/jquery.js, HTTP/1.1, 200, 0.001382
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/js/calendar.js, HTTP/1.1, 200, 0.002140
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/js/web2py.js, HTTP/1.1, 200, 0.000445
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/js/vue.min.js, HTTP/1.1, 404, 0.000510
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/js/marked.min.js, HTTP/1.1, 404, 0.000844
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/js/marked.min.js, HTTP/1.1, 404, 0.000352
127.0.0.1, 2018-04-17 23:08:20, GET, /camphyr/static/js/vue.min.js, HTTP/1.1, 404, 0.000386
127.0.0.1, 2018-04-17 23:08:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000246
127.0.0.1, 2018-04-18 08:22:29, GET, /, HTTP/1.1, 303, 0.004314
127.0.0.1, 2018-04-18 08:22:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.148420
127.0.0.1, 2018-04-18 08:22:36, GET, /admin/default/site, HTTP/1.1, 303, 0.112373
127.0.0.1, 2018-04-18 08:22:36, GET, /admin/default/index, HTTP/1.1, 200, 0.032219
127.0.0.1, 2018-04-18 08:22:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2018-04-18 08:22:39, POST, /admin/default/index, HTTP/1.1, 303, 0.009484
127.0.0.1, 2018-04-18 08:22:39, GET, /admin/default/site, HTTP/1.1, 200, 0.037183
127.0.0.1, 2018-04-18 08:22:39, POST, /admin/default/check_version, HTTP/1.1, 200, 0.197792
127.0.0.1, 2018-04-18 08:22:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000179
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/default/index, HTTP/1.1, 200, 0.065210
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000609
